Student Number,Grade,Total Units,Avoided Time Slot,Selected Course 1,Selected Course 2,Selected Course 3,Success
1,4,8,5,001-SEM (1079),001-SEM (1541),NA,1
2,4,10,4,001-SEM (1048),002-SEM (1092),025-SEM (1461),0
3,4,10,4,002-SEM (1506),001-SEM (1524),002-SEM (1470),1
4,4,10,3,001-SEM (1108),001-SEM (1128),003-SEM (1527),1
5,4,8,4,001-LEC (1064),001-SEM (1076),NA,1
6,4,8,3,013-SEM (1183),001-SEM (1050),NA,1
7,4,10,4,001-SEM (1326),002-SEM (1827),002-SEM (1476),1
8,4,8,5,004-LEC (1387),001-SEM (1407),NA,0
9,4,8,3,001-LEC (1312),001-SEM (1099),NA,1
10,4,10,1,001-SEM (1078),025-SEM (1461),002-SEM (1318),1
11,4,8,2,022-SEM (1458),002-SEM (1074),020-SEM (1456),1
12,4,10,3,004-SEM (1440),001-LEC (1302),002-SEM (1060),1
13,4,10,2,001-SEM (1080),003-LEC (1328),001-SEM (1504),1
14,4,8,1,018-SEM (1188),001-SEM (1051),NA,1
15,4,8,3,001-SEM (1409),022-SEM (1458),001-SEM (1413),1
16,4,10,1,001-SEM (1409),001-SEM (1097),001-SEM (1081),0
17,4,10,3,002-SEM (1311),001-SEM (1505),001-SEM (1346),1
18,4,8,1,001-SEM (1052),001-SEM (1098),NA,1
19,4,10,2,001-SEM (1109),001-SEM (1063),022-SEM (1458),0
20,4,10,1,001-LEC (1403),002-SEM (1825),007-SEM (1443),0
21,4,10,4,001-SEM (1075),001-SEM (1404),001-LEC (1389),1
22,4,8,3,002-SEM (1472),001-SEM (1341),001-SEM (1098),1
23,4,10,1,002-SEM (1095),003-SEM (1439),001-SEM (1067),0
24,4,8,5,001-SEM (1121),004-SEM (1056),NA,1
25,4,10,1,001-LEC (1303),002-SEM (1526),001-SEM (1116),1
26,4,8,1,018-SEM (1188),002-SEM (1123),NA,1
27,4,10,3,020-SEM (1456),007-SEM (1511),001-LEC (1324),0
28,4,10,4,008-SEM (1512),014-SEM (1450),006-SEM (1090),1
29,4,10,5,005-SEM (1489),001-LEC (1337),002-SEM (1311),1
30,4,8,1,001-LEC (1403),024-SEM (1194),NA,1
31,4,10,3,001-SEM (1391),021-SEM (1191),002-SEM (1526),1
32,4,10,1,001-LEC (1403),018-SEM (1454),016-SEM (1186),1
33,4,10,1,001-SEM (1113),001-SEM (1482),001-SEM (1504),0
34,4,10,3,001-SEM (1556),008-SEM (1492),005-LEC (1368),1
35,4,10,4,016-SEM (1186),011-SEM (1447),016-SEM (1452),1
36,4,8,4,013-SEM (1449),001-SEM (1382),001-SEM (1934),1
37,4,8,5,001-SEM (1111),001-SEM (1083),NA,1
38,4,8,5,001-SEM (1409),001-LEC (1029),NA,0
39,4,8,3,001-SEM (1480),001-SEM (1559),003-SEM (1507),1
40,4,8,5,001-LEC (1066),001-SEM (1482),003-SEM (1377),1
41,4,8,2,001-SEM (1116),001-SEM (1099),NA,1
42,4,8,2,001-SEM (1080),001-SEM (1404),NA,1
43,4,8,3,003-LEC (1354),001-SEM (1108),NA,1
44,4,8,1,002-SEM (1474),001-LEC (1398),001-SEM (1413),1
45,4,8,1,001-LEC (1370),001-SEM (1078),NA,0
46,4,10,4,002-SEM (1827),002-SEM (1095),001-SEM (1559),1
47,4,8,3,001-SEM (1525),001-SEM (1124),007-SEM (1511),1
48,4,8,3,012-SEM (1448),003-LEC (1328),020-SEM (1456),1
49,4,8,2,001-SEM (1096),001-SEM (1501),001-SEM (1359),1
50,4,10,3,016-SEM (1186),005-SEM (1489),003-SEM (1527),0
51,4,10,3,001-SEM (1076),001-SEM (1078),001-SEM (1384),0
52,4,8,5,001-SEM (1501),014-SEM (1450),001-SEM (1054),1
53,4,8,2,021-SEM (1191),004-SEM (1488),001-LEC (1324),1
54,4,10,4,005-SEM (1441),002-SEM (1060),001-SEM (1076),1
55,4,10,1,002-SEM (1318),001-SEM (1327),001-LEC (1337),0
56,4,10,5,001-SEM (1101),002-SEM (1405),001-SEM (1084),1
57,4,10,5,001-SEM (1394),001-SEM (1343),001-SEM (1350),0
58,4,10,2,001-SEM (1326),001-SEM (1106),006-SEM (1490),1
59,4,8,3,001-SEM (1118),001-LEC (1568),NA,1
60,4,10,2,002-SEM (1414),001-SEM (1098),001-LEC (1374),0
61,4,8,4,002-SEM (1129),005-SEM (1199),NA,1
62,4,10,4,001-LEC (1398),004-SEM (1488),005-LEC (1307),1
63,4,10,4,001-SEM (1122),001-SEM (1505),001-SEM (1084),1
64,4,8,1,001-SEM (1376),001-SEM (1361),NA,1
65,4,10,2,002-SEM (1414),001-SEM (1081),002-SEM (1393),0
66,4,8,2,001-SEM (1504),001-SEM (1063),013-SEM (1449),1
67,4,10,5,001-SEM (1082),005-SEM (1059),003-SEM (1487),1
68,4,8,1,001-SEM (1113),001-LEC (1403),NA,0
69,4,10,2,002-SEM (1484),001-SEM (1505),003-SEM (1439),1
70,4,10,3,001-LEC (1029),001-LEC (1374),001-SEM (1394),1
71,4,10,5,001-SEM (1392),001-SEM (1395),001-SEM (1051),1
72,4,8,1,001-SEM (1381),001-LEC (1029),NA,1
73,4,8,2,001-SEM (1391),003-LEC (1385),NA,1
74,4,8,4,005-SEM (1441),018-SEM (1454),025-SEM (1461),1
75,4,10,1,003-LEC (1328),001-SEM (1091),018-SEM (1454),1
76,4,8,2,001-LEC (1568),004-SEM (1056),NA,1
77,4,10,4,014-SEM (1184),002-SEM (1129),021-SEM (1457),1
